No.,Country,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,Austria ,,,,,,,,193,217,260,268,225,227,293,362,414,1353,1083,1057,1308,2227,1970,1100,533,357,315,252,323,441,620,531,631,761,581,532,640,525,355,404,308,853,785,559,386,338,473,479,772,676,,481,387,359,397,553,629,445,286,264
2,Belgium,,,,,,,,102,119,96,66,67,83,56,87,64,136,137,84,177,211,187,79,75,67,64,68,86,91,109,67,80,77,99,99,103,119,138,130,149,307,402,325,281,296,330,397,589,539,,200,251,187,224,226,323,224,191,192
3,Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,10,7,5,4,2,3,5,1,3,7,6,2,12,25,1,5,4,5,4,15,9,,3,1,0,1,1,4,1,1,1
4,Bulgaria,,,,,,,,57,28,23,28,48,47,45,40,47,88,55,61,51,38,28,30,16,8,11,11,15,11,9,9,6,21,9,9,5,12,0,4,26,8,17,13,7,5,7,4,13,7,,2,11,6,7,4,14,14,9,16
5,Cyprus,,,,,,,,,,,,,,,,,,9,5,8,2,6,0,0,0,2,0,2,5,5,9,5,,3,2,3,2,0,2,6,40,39,29,16,18,18,16,16,22,,8,14,20,7,5,13,19,8,6
6,Czechia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,53,89,55,47,43,50,59,57,38,46,41,49,90,116,123,44,66,79,62,131,84,,45,42,47,30,33,65,85,40,54
7,Denmark,,,,,,,,115,103,94,51,59,74,74,65,53,128,100,132,280,444,427,244,99,73,97,84,92,102,92,111,86,89,99,90,100,95,68,50,58,175,217,208,137,138,178,168,244,232,,125,130,134,130,179,223,268,193,209
8,Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,2,,,,,0,0,3,1,3,0,1,0,3,0,0,,0,1,6,3,2,6,2,11,10
9,Finland,,,,,,,,36,20,24,14,30,32,35,22,32,42,37,42,34,67,51,31,18,8,20,6,6,6,9,15,11,8,14,9,14,9,11,6,8,44,43,42,23,25,41,14,52,35,,10,23,21,22,28,52,58,33,33
10,France,809,787,805,849,724,621,621,569,483,446,389,363,363,362,402,361,1049,1069,707,1044,1578,1516,924,546,398,328,265,212,309,380,255,245,266,263,309,261,339,251,300,295,579,533,564,388,339,376,433,575,483,,199,209,212,174,147,227,268,213,203
11,Greece,,,,,,,,,,,,,,,,,,345,187,360,710,911,562,212,142,181,100,61,85,88,52,50,43,52,49,74,75,56,75,76,155,119,174,88,91,58,68,77,72,,24,26,27,39,16,22,48,28,17
12,Spain,,,,,,,,,,,,,,,,,,67,44,66,102,135,84,43,14,14,34,37,53,70,47,58,53,97,111,131,166,139,201,265,625,650,514,330,272,304,251,394,349,,138,175,171,169,105,157,296,194,268
18,Netherlands,,,,,,,,96,68,81,56,90,105,116,98,140,230,248,158,238,335,337,216,127,103,102,155,152,189,181,190,139,166,218,239,265,290,275,363,393,925,1098,1004,691,680,899,982,1440,1356,,786,758,787,770,968,1169,961,652,697
13,Ireland,,,,,,,,,,,,,,,,,,1,8,3,1,5,6,0,0,0,2,0,1,8,1,1,1,7,,9,13,20,83,405,2307,2089,1422,570,565,712,820,1147,1196,,524,484,480,361,343,490,589,418,486
14,Iceland,,,,,,,,,,,,,,,,,,1,18,0,9,7,2,6,2,0,0,1,2,4,1,2,8,12,15,14,9,12,19,18,79,140,99,36,43,63,67,99,86,,67,51,67,60,33,50,103,39,73
15,Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,14,12,9,4,4,9,4,4,7,3,5,8,11,9,3,9,2,7,13,8,,4,8,2,1,6,6,10,10,2
16,Luxembourg,,,,,,,,,,,,,,,,,,4,4,7,8,5,4,4,0,1,1,9,7,9,3,6,9,7,13,7,23,14,14,13,35,36,31,21,18,15,22,35,33,,21,21,22,24,15,27,52,37,33
17,Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,2,1,1,7,4,3,2,2,2,3,0,0,0,0,1,2,,0,0,0,0,5,0,5,0,1
19,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,14502,12851,15333,18876,18161,14800,14202,16128,15346,20472,16900,17806,15013,12646,12317,14950,13771,11884,7769,6818,7784,8399,12419,10266,,4437,4514,4370,3846,2588,3722,3913,3098,3299
20,West Berlin,,,,,,,,,,,,,,,,,,212,157,332,317,571,519,500,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Federal Republic of Germany ,14696,9647,8626,8740,4979,21729,10459,6302,5688,4376,22051,24119,24749,29095,17634,18253,21160,14854,8254,9120,12681,18719,24111,18028,11222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,German Democratic Republic,4605,3402,3269,2632,2213,2468,2434,1134,732,556,631,590,420,375,380,258,306,181,143,132,134,142,181,141,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Norway,,,,,,,,38,33,60,31,28,32,38,72,49,127,71,102,80,119,110,65,62,57,65,50,49,58,80,70,47,36,51,49,71,47,35,51,72,251,304,418,245,303,277,413,656,626,,257,260,274,272,256,424,652,405,386
24,Portugal,,,,,,,,,,,,,,,,,,6,9,1,4,1,2,0,3,1,1,0,3,0,2,2,0,0,2,6,6,5,3,7,9,21,17,4,10,17,12,22,16,,4,18,30,19,22,38,80,56,42
25,Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,12,9,18,8,11,11,9,20,13,5,10,18,44,30,23,15,15,7,19,18,24,,10,4,3,5,6,5,0,0,2
26,Romania,,,,,,,,10,20,185,22,107,14,32,16,3,8,10,9,5,5,5,3,1,0,0,3,5,0,1,0,0,3,3,1,4,2,1,1,6,1,9,2,1,6,2,4,3,3,,1,1,8,1,2,4,5,8,2
27,Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,17,18,19,6,9,10,7,11,10,1,5,17,18,45,27,21,19,26,32,21,,8,13,20,6,13,10,10,11,3
28,Switzerland,,,,,,,,78,54,71,53,47,51,49,57,51,132,147,95,110,202,233,114,76,58,67,44,34,44,59,51,55,47,59,57,50,88,62,59,75,148,147,166,111,102,136,175,249,264,,151,143,184,208,200,279,415,282,312
29,Sweden,,,,,,,,457,420,418,373,409,465,508,507,475,765,891,728,928,1040,1072,795,530,479,460,283,280,518,570,364,288,250,251,249,167,174,117,174,268,595,487,475,398,400,347,345,597,557,,200,193,223,245,175,245,286,266,240
29,Turkey,,,,,,,,,,,,,,,,,,50,69,88,208,291,110,24,8,17,3,1,4,3,0,0,3,4,0,4,5,8,4,2,4,5,1,3,8,6,4,8,18,,5,3,0,0,7,3,11,5,5
30,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,13,11,9,14,9,10,21,16,11,14,15,29,28,30,34,25,18,17,26,24,31,,8,7,6,10,6,7,32,51,28
31,Hungary,,,,,,,,35,51,62,47,55,50,82,61,86,92,81,54,50,70,46,48,24,28,15,9,8,9,11,10,11,6,12,10,6,11,6,9,13,12,13,13,19,15,12,7,12,13,,4,7,11,13,7,8,7,5,14
32,United Kingdom,,,,,,,,360,383,464,294,210,226,264,240,251,433,465,307,397,604,518,288,200,87,122,79,95,137,154,133,121,166,170,189,208,254,282,543,3072,17996,9165,6565,3502,3472,4434,4900,7779,7392,,2946,2596,2719,2383,2102,2655,3493,2227,2236
33,Italy,,,,,,,,186,201,216,151,176,250,314,276,237,586,464,386,1082,2010,2700,1375,351,179,223,88,141,172,199,160,155,211,223,273,307,302,311,300,413,891,813,922,549,535,515,521,705,583,,258,230,269,249,122,246,230,249,224
34,Czechoslovakia,252,207,240,224,172,225,279,268,254,202,221,312,233,210,192,158,215,125,157,165,159,114,141,136,162,109,78,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Yugoslavia,,,,,,,,228,160,141,117,106,61,48,77,92,138,128,56,148,286,479,229,60,49,52,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,USSR,208,225,266,299,183,172,155,149,90,55,64,55,52,43,62,51,79,167,52,51,71,58,61,27,28,30,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,1,0,3,0,0,5,3,0,0,2,1,2,10,0,0,3,5,3,,1,0,0,0,0,0,0,0,0
38,China,,0,0,0,1,4,,151,57,36,,3,,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,4,0,3,6,2,2,1,13,7,10,5,4,11,15,12,17,,4,6,5,5,2,3,3,2,9
39,Iraq,,,,,,,,,,,,,,,,,,14,21,22,31,18,10,8,9,7,4,1,2,6,5,0,1,2,1,2,0,1,5,5,1,0,2,0,0,0,3,4,0,,1,0,0,1,0,1,0,0,1
40,Israel,,,,5338,1895,757,445,74,93,5,30,44,37,37,27,21,50,45,13,29,27,12,10,15,23,5,8,6,7,11,11,10,18,4,16,9,12,4,10,7,16,9,13,10,17,11,6,15,10,,1,3,3,2,2,2,5,2,2
41,Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,5,6,0,1,2,4,1,0,3,13,1,4,4,6,10,4,7,9,,5,1,1,2,4,0,1,2,5
42,Syria,,,,,,,,,,,,,,,,,,24,9,5,19,12,8,4,0,2,2,7,3,2,5,4,4,8,1,9,1,1,1,1,2,1,0,3,1,3,0,6,0,,1,0,0,0,0,0,0,0,0
43,Vietnam,,,,,,,,,,,,,,,,,,17,1,3,1,0,1,1,0,1,0,1,1,3,0,0,2,0,1,0,0,1,1,3,5,6,0,2,2,8,7,0,3,,0,4,0,1,0,0,2,7,1
44,Canada,1150,750,543,480,468,459,570,474,439,351,300,300,257,318,285,471,857,1017,1049,879,1052,1378,1398,1573,1586,1547,1232,1373,1457,1677,1348,1336,1076,1113,1206,1037,1016,800,657,808,1097,821,841,571,607,550,562,730,673,,176,177,202,172,96,116,140,145,109
45,United States of America,,2993,1879,1682,1247,1633,1835,1481,1814,944,1039,967,1190,1255,1293,1556,2651,2762,2486,2469,3318,3345,2770,2728,2493,2153,1960,2592,2767,3181,2490,2229,2217,2358,2572,2485,2676,2464,2404,2633,3951,3078,3158,1961,1767,1797,1597,2641,1877,,695,902,765,691,368,547,628,542,517
46,Argentina,31,30,13,18,12,16,19,18,21,35,8,14,8,15,14,7,9,6,6,4,16,6,1,1,1,4,3,0,1,4,2,2,4,1,2,2,0,2,0,4,2,2,4,4,1,3,1,9,1,,1,5,3,0,0,1,5,0,0
47,Brazil,19,28,12,22,7,11,22,6,10,8,13,3,5,9,14,13,14,15,2,11,11,10,9,5,3,2,5,3,2,2,1,1,3,0,7,3,1,4,1,1,7,6,6,5,4,10,10,16,8,,5,4,2,9,2,8,2,0,3
48,Algeria,,,,,,,,,,,,,,,,,,33,42,22,70,59,40,28,6,15,8,0,6,0,5,0,0,3,1,3,0,0,0,1,2,1,4,0,3,8,0,0,6,,2,1,1,0,0,0,0,1,1
49,Libya,,,,,,,,,,,,,,,,,,218,23,43,28,44,49,13,5,3,3,5,4,1,5,3,5,0,2,1,0,0,1,1,6,2,2,2,5,2,3,2,0,,1,0,0,0,0,0,1,0,0
50,Morocco ,,,,,,,,,,,,,,,,,,15,13,12,17,26,9,3,2,4,0,0,0,0,0,0,0,3,5,2,2,0,0,1,5,3,3,2,0,3,6,1,1,,0,0,1,4,1,1,1,1,2
51,South Africa,,,,,,,,,,,,,,,,,,32,10,18,13,39,25,17,25,41,33,43,38,43,52,28,49,40,26,35,33,10,9,32,52,18,27,16,3,19,14,21,15,,3,2,2,1,1,1,1,0,1
52,Tunisia,,,,,,,,,,,,,,,,,,7,9,3,13,11,3,4,1,8,4,3,9,1,0,2,2,0,0,1,1,1,4,0,1,1,3,1,0,4,2,6,9,,0,0,0,1,0,0,0,1,4
53,Australia,,,,,,,,153,135,80,69,84,97,113,117,243,468,637,461,439,461,542,415,305,338,318,277,234,304,353,315,239,277,239,179,244,187,165,165,223,369,233,239,227,163,175,199,307,225,,80,94,78,59,39,48,75,71,50
54,New Zealand,,,,,,,,5,0,0,2,2,0,1,2,3,21,0,11,5,6,12,5,2,6,9,5,2,20,30,6,1,16,13,13,6,17,13,18,20,43,29,21,17,11,17,17,23,39,,5,4,9,12,7,7,10,10,6
